Idiom,normal,idiomatic,literal_segments,idiom_segments,literal_positions,idiom_positions,num_differences
good Samaritan,The beggar was lying shivering on the road when a compassionate person came along and gave him a blanket and some warm clothes .,The beggar was lying shivering on the road when a good Samaritan came along and gave him a blanket and some warm clothes .,compassionate person,good Samaritan,"[(10, 12)]","[(10, 12)]",1
keep your friends close and your enemies closer,As a politician you must keep a watch out for your enemies .,As a politician you must keep your friends close and your enemies closer .,watch out for,friends close and | closer,"[(7, 10)]","[(7, 10), (12, 13)]",2
in a nutshell,"To put in concise words , all the new mayor was saying is that the fight against crime will be taken much more seriously .","In a nutshell , all the new mayor was saying is that the fight against crime will be taken much more seriously .",To put in concise words,In a nutshell,"[(0, 5)]","[(0, 3)]",1
drop by,If you want to see what it looks like you should come over this weekend .,If you want to see what it looks like you should drop by over the weekend .,come | this,drop by | the,"[(11, 12), (13, 14)]","[(11, 13), (14, 15)]",2
crack up,The entire group laughed at the joke of their teacher .,The entire group cracked up at the joke of their teacher .,laughed,cracked up,"[(3, 4)]","[(3, 5)]",1
miss the boat,"There were tickets available for the match till last week , but you have missed the opportunity by waiting till today .","There were tickets available for the match till last week , but you have missed the boat by waiting till today .",opportunity,boat,"[(16, 17)]","[(16, 17)]",1
keep your chin up,Do n't let the difficulties intimidate you ; be courageous .,Do n't let the difficulties intimidate you ; keep your chin up .,be courageous,keep your chin up,"[(8, 10)]","[(8, 12)]",1
change of heart,The call-back of the military and troops from Afghanistan shows a change of opinion by the British government .,The call-back of the military and troops from Afghanistan shows a change of heart by the British government .,opinion,heart,"[(13, 14)]","[(13, 14)]",1
hang on,The child tightly held her mother and would not let go of her hands .,The child hung on to her mother and would not let go of her hands .,tightly held,hung on to,"[(2, 4)]","[(2, 5)]",1
it's a small world,"I ran into my 5th grade teacher at the mall the other day , itês such an unexpected encounter .","I ran into my 5th grade teacher at the mall the other day , itês such a small world .",an unexpected encounter,a small world,"[(16, 19)]","[(16, 19)]",1
bite the dust,The soldier died after a very long fight and even at that he managed to take many enemy soldiers with him .,The soldier bit the dust after a very long fight and even at that he managed to take many enemy soldiers with him .,died,bit the dust,"[(2, 3)]","[(2, 5)]",1
cool heels,The prisoner has been awarded the death penalty is awaiting his punishment until the President evaluates if mercy can be sanctioned .,The prisoner has been awarded the death penalty is cooling his heels until the President evaluates if mercy can be sanctioned .,awaiting | punishment,cooling | heels,"[(9, 10), (11, 12)]","[(9, 10), (11, 12)]",2
level playing field,These set of rules would provide a situation that is fair to everyone to all the competitors and all would have a fair chance of succeeding .,These set of rules would provide a level playing field to all the competitors and all would have a fair chance of succeeding .,situation that is | everyone,level playing field,"[(7, 10), (12, 13)]","[(7, 10)]",2
far-fetched,"When he told us the stories of his youth , everyone could agree that they were likely false .","When he told us the stories of his youth , everyone could agree that they were far-fetched .",likely false,far-fetched,"[(16, 18)]","[(16, 17)]",1
follow by,The presentation will be succeeded by high tea and snacks for all the employees present .,The presentation will be followed by high tea and snacks for all the employees present .,succeeded,followed,"[(4, 5)]","[(4, 5)]",1
a picture is worth a thousand words,"A good presentation should contain more of graphics and less of text , since a graphic can convey information better than words .","A good presentation should contain more of graphics and less of text , since a picture is worth a thousand words .",graphic can convey information better than,picture is worth | thousand,"[(15, 21)]","[(15, 18), (19, 20)]",2
get cracking,The laundry man better get hurrying with our clothes else we will miss the event .,The laundry man better get cracking with our clothes else we will miss the event .,hurrying,cracking,"[(5, 6)]","[(5, 6)]",1
harp on,He kept talking on about something that was n't interesting and I had stopped paying attention a long while back .,He kept harping on about something and I had stopped paying attention a long while back .,talking | that was n't interesting,harping,"[(2, 3), (6, 10)]","[(2, 3)]",2
do the trick,"If nothing seems to be working , just pray to the God , sometimes that solves the problem .","If nothing seems to be working , just pray to the God , sometimes that does the trick .",solves | problem,does | trick,"[(15, 16), (17, 18)]","[(15, 16), (17, 18)]",2
in the can,The work is almost entirely a wrap if only he can convince the managing directors to give him a raise now .,The work is almost entirely in the can if only he can convince the managing directors to give him a raise now .,wrap,in,"[(6, 7)]","[(5, 6)]",1
take it on the chin,You 're going to have to accept your mistakes when your father gets home and sees what you 've done .,You 're going to have to take it on the chin when your father gets home and sees what you 've done .,accept | mistakes,take it on the chin,"[(6, 7), (8, 9)]","[(6, 11)]",2
forty winks,The bank manager caught the security guard while a nap on duty .,The bank manager caught the security guard while taking forty winks on duty .,a nap,taking forty winks,"[(8, 10)]","[(8, 11)]",1
wash dirty linen in public,She decided not to take the family dispute to court as she feared it would only lead to a lot of public discussion of private scandals and difficulties .,She decided not to take the family dispute to court as she feared it would only lead to a lot of washing of dirty linen in public .,discussion | private scandals and difficulties,washing | dirty linen in,"[(22, 23), (24, 28)]","[(21, 22), (23, 26)]",2
cold hearted,"Do n't be so cruel , forgive them and speak with your children .","Do n't be so cold hearted , forgive them and speak with your children .",cruel,cold hearted,"[(4, 5)]","[(4, 6)]",1
stir up a hornet's nest,"When the auditor asked for more evidences , the treasury department caused a lot of upheaval because they did not have more .","When the auditor asked for more evidences , the treasury department stirred up a Hornet 's nest because they did not have more .",caused | lot of upheaval,stirred up | Hornet 's nest,"[(11, 12), (13, 16)]","[(11, 13), (14, 17)]",2
the best of both worlds,"`` If you decide to live here you get the greenery of the countryside and the amenities of urban life and its the best of both opportunities , really .","`` If you decide to live here you get the greenery of the countryside and the amenities of urban life and its the best of both worlds , really .",opportunities,worlds,"[(26, 27)]","[(26, 27)]",1
cry over spilt milk,"While it 's sad that the results have not been as good as you expected , you should now focus on moving ahead and achieving better results next time ; there is no use being irritated by what has already happened .","While it 's sad that the results have not been as good as you expected , you should now focus on moving ahead and achieving better results next time ; there is no use crying over spilt milk .",being irritated by what has already happened,crying over spilt milk,"[(34, 41)]","[(34, 38)]",1
