normal,gen_z,literal_segments,slang_segments,literal_positions,slang_positions,num_differences
I'm just going to chill at home and watch some shows.,"I'm just vibing at home, binge-watching some shows.",going to chill | home and watch,"vibing | home, binge-watching","[(2, 5), (6, 9)]","[(2, 3), (4, 6)]",2
I'm really excited for the party tonight.,I'm so hyped for the party tonight!,really excited | tonight.,so hyped | tonight!,"[(1, 3), (6, 7)]","[(1, 3), (6, 7)]",2
I'm really excited to chill with my friends tonight.,I'm soooo hyped to hang with my squad tonight!,really excited | chill | friends tonight.,soooo hyped | hang | squad tonight!,"[(1, 3), (4, 5), (7, 9)]","[(1, 3), (4, 5), (7, 9)]",3
"Hey, do you want to grab something to eat later?","Yo, wanna catch a snack later?","Hey, do you want to grab something to eat","Yo, wanna catch a snack","[(0, 9)]","[(0, 5)]",1
"Hey, did you finish your homework?","Yo, did you peep your homework yet?","Hey, | finish | homework?","Yo, | peep | homework yet?","[(0, 1), (3, 4), (5, 6)]","[(0, 1), (3, 4), (5, 7)]",3
I'm just waiting for my friend to arrive so we can go to the cafe.,"Just vibing, waitin' on my homie to pull up so we can hit the cafe.",I'm just waiting for | friend | arrive | go to,"Just vibing, waitin' on | homie | pull up | hit","[(0, 4), (5, 6), (7, 8), (11, 13)]","[(0, 4), (5, 6), (7, 9), (12, 13)]",4
I'm going to grab some food with my friends later.,"I'mma hit up my friends for some grub later, fr.",I'm going to grab some food with | later.,"I'mma hit up | for some grub later, fr.","[(0, 7), (9, 10)]","[(0, 3), (5, 10)]",2
I'm just relaxing at home and watching some videos.,I'm just vibing at home and streaming some vids.,relaxing | watching | videos.,vibing | streaming | vids.,"[(2, 3), (6, 7), (8, 9)]","[(2, 3), (6, 7), (8, 9)]",3
"Hey, are you free this afternoon to hang out?","Yo, you vibing this arvo to chill?","Hey, are | free | afternoon | hang out?","Yo, | vibing | arvo | chill?","[(0, 2), (3, 4), (5, 6), (7, 9)]","[(0, 1), (2, 3), (4, 5), (6, 7)]",4
I'm going to grab some coffee with my friends today.,I'm finna slurp some coffee with my crew today.,going to grab | friends,finna slurp | crew,"[(1, 4), (8, 9)]","[(1, 3), (7, 8)]",2
"Hey, did you see that new movie last night?","Yo, did you catch that new flick last night?","Hey, | see | movie","Yo, | catch | flick","[(0, 1), (3, 4), (6, 7)]","[(0, 1), (3, 4), (6, 7)]",3
I'm really tired because I stayed up too late last night.,I'm dead tired 'cause I was up all night scrolling.,really | because | stayed | too late last night.,dead | 'cause | was | all night scrolling.,"[(1, 2), (3, 4), (5, 6), (7, 11)]","[(1, 2), (3, 4), (5, 6), (7, 10)]",4
I'm just planning to hang out with friends this afternoon.,"OOTD, just vibing with the crew today, no cap.",I'm | planning to hang out | friends this afternoon.,"OOTD, | vibing | the crew today, no cap.","[(0, 1), (2, 6), (7, 10)]","[(0, 1), (2, 3), (4, 9)]",3
I'm going to grab some coffee before I head to class.,I'm finna sip some coffee before I dip to class.,going to grab | head,finna sip | dip,"[(1, 4), (8, 9)]","[(1, 3), (7, 8)]",2
I'm just going to relax at home tonight.,"I'm just chillin' at home tonight, no cap.",going to relax | tonight.,"chillin' | tonight, no cap.","[(2, 5), (7, 8)]","[(2, 3), (5, 8)]",2
I'm just really tired today because I didn't sleep well last night.,I'm so drained today 'cause I barely slept last night.,just really tired | because | didn't sleep well,so drained | 'cause | barely slept,"[(1, 4), (5, 6), (7, 10)]","[(1, 3), (4, 5), (6, 8)]",3
"Hey, did you see the new movie everyone’s talking about?","Yo, did you peep that fresh flick everyone’s buzzin' about?","Hey, | see the new movie | talking","Yo, | peep that fresh flick | buzzin'","[(0, 1), (3, 7), (8, 9)]","[(0, 1), (3, 7), (8, 9)]",3
"I'm really tired today, so I think I'll just stay in and relax.","I'm hella drained today, so I'm just gonna chill at home and vibing.",really tired | I think I'll | stay in | relax.,hella drained | I'm | gonna chill at home | vibing.,"[(1, 3), (5, 8), (9, 11), (12, 13)]","[(1, 3), (5, 6), (7, 11), (12, 13)]",4
I'm really excited to hang out with my friends tonight.,I'm super hyped to chill with my squad tonight!,really excited | hang out | friends tonight.,super hyped | chill | squad tonight!,"[(1, 3), (4, 6), (8, 10)]","[(1, 3), (4, 5), (7, 9)]",3
I'm just going to stay home and relax today.,"I'm just chillin' at home today, no cap.",going to stay | and relax today.,"chillin' at | today, no cap.","[(2, 5), (6, 9)]","[(2, 4), (5, 8)]",2
I'm really tired today because I didn't get enough sleep.,I'm totally drained today 'cause I slept like zero hours.,really tired | because | didn't get enough sleep.,totally drained | 'cause | slept like zero hours.,"[(1, 3), (4, 5), (6, 10)]","[(1, 3), (4, 5), (6, 10)]",3
I'm just really tired today and want to stay home.,I'm hella beat today and just wanna chill at home.,just really tired | want to stay,hella beat | just wanna chill at,"[(1, 4), (6, 9)]","[(1, 3), (5, 9)]",2
"I'm really tired today, so I think I'll just stay home and relax.","I'm super wiped today, so I'm just vibing at home and chilling.",really tired | I think I'll | stay | relax.,super wiped | I'm | vibing at | chilling.,"[(1, 3), (5, 8), (9, 10), (12, 13)]","[(1, 3), (5, 6), (7, 9), (11, 12)]",4
I'm going to grab some coffee with my friends later.,I'm about to snag some coffee with my squad later.,going | grab | friends,about | snag | squad,"[(1, 2), (3, 4), (8, 9)]","[(1, 2), (3, 4), (8, 9)]",3
I'm just hanging out with my friends at the park after school.,"Chillin' with my crew at the park after class, no cap.",I'm just hanging out | friends | school.,"Chillin' | crew | class, no cap.","[(0, 4), (6, 7), (11, 12)]","[(0, 1), (3, 4), (8, 11)]",3
I was just about to leave the house when I remembered I left my phone inside.,"I was finna dip, then I remembered I left my phone chillin' inside.",just about to leave the house when,"finna dip, then | chillin'","[(2, 9), (15, 15)]","[(2, 5), (11, 12)]",1
I really like hanging out with my friends after school.,"I’m vibing with my crew after school, fr.",I really like hanging out | friends | school.,"I’m vibing | crew | school, fr.","[(0, 5), (7, 8), (9, 10)]","[(0, 2), (4, 5), (6, 8)]",3
I'm just chilling at home and watching some shows.,"I'm just vibin' at home, binge-watching some shows.",chilling | home and watching,"vibin' | home, binge-watching","[(2, 3), (4, 7)]","[(2, 3), (4, 6)]",2
I noticed that the new cafe opened downtown yesterday.,"Yo, saw that new chill spot pop up downtown yesterday!",I noticed | the | cafe opened | yesterday.,"Yo, saw | chill spot pop up | yesterday!","[(0, 2), (3, 4), (5, 7), (8, 9)]","[(0, 2), (3, 3), (4, 8), (9, 10)]",4
I'm honestly really tired after working all day.,"I'm legit dead tired after grindin' all day, fr.",honestly really | working | day.,"legit dead | grindin' | day, fr.","[(1, 3), (5, 6), (7, 8)]","[(1, 3), (5, 6), (7, 9)]",3
"I'm really tired today, so I think I'll just relax at home.","I'm super drained today, so I'm just gonna chill at home.",really tired | I think I'll | relax,super drained | I'm | gonna chill,"[(1, 3), (5, 8), (9, 10)]","[(1, 3), (5, 6), (7, 9)]",3
I'm going to grab some coffee with my friend later.,"I'm finna hit up my homie for some coffee later, fr fr.",going to grab | with my friend later.,"finna hit up my homie for | later, fr fr.","[(1, 4), (6, 10)]","[(1, 7), (9, 12)]",2
"Hey, I just finished my homework and I'm ready to chill.","Yo, just knocked out my homework and I'm all set to vibe.","Hey, I | finished | ready | chill.","Yo, | knocked out | all set | vibe.","[(0, 2), (3, 4), (8, 9), (10, 11)]","[(0, 1), (2, 4), (8, 10), (11, 12)]",4
I'm really tired after the long day at work.,I'm so drained after this long day at the grind.,really tired | the | work.,so drained | this | the grind.,"[(1, 3), (4, 5), (8, 9)]","[(1, 3), (4, 5), (8, 10)]",3
I'm just going to grab some coffee before heading to work.,I'm finna sip some java before I dip to work.,just going to grab | coffee | heading,finna sip | java | I dip,"[(1, 5), (6, 7), (8, 9)]","[(1, 3), (4, 5), (6, 8)]",3
I'm just going to grab a quick coffee before work.,"Gonna hit up a quick coffee run before work, fr.",I'm just going to grab | work.,"Gonna hit up | run | work, fr.","[(0, 5), (8, 8), (9, 10)]","[(0, 3), (6, 7), (8, 10)]",2
"Hey, do you want to hang out this afternoon?","Yo, wanna kick it today?","Hey, do you want to hang out this afternoon?","Yo, wanna kick it today?","[(0, 9)]","[(0, 5)]",1
"I'm just really tired today, so I think I'll stay home and relax.","I'm mad drained today, so I'm just chillin' at home and vibin'.","really tired today, so I think I'll stay | relax.","I'm mad drained today, so | chillin' at | vibin'.","[(0, 0), (2, 10), (12, 13)]","[(0, 5), (7, 9), (11, 12)]",2
"Hey, did you see the new movie everyone is talking about?","Yo, did you peep the new flick everyone's hyped about?","Hey, | see | movie everyone is talking","Yo, | peep | flick everyone's hyped","[(0, 1), (3, 4), (6, 10)]","[(0, 1), (3, 4), (6, 9)]",3
I'm just going to chill at home and watch some TV tonight.,I'm just gonna vibe at home and binge some shows tonight. They’re gonna be lit!,going to chill | watch | TV,gonna vibe | binge | shows | They’re gonna be lit!,"[(2, 5), (8, 9), (10, 11), (12, 12)]","[(2, 4), (7, 8), (9, 10), (11, 15)]",3
"Hey, are you free to hang out tonight?","Yo, you down to chill tonight?","Hey, are | free | hang out","Yo, | down | chill","[(0, 2), (3, 4), (5, 7)]","[(0, 1), (2, 3), (4, 5)]",3
I'm going to grab some coffee before heading to class.,I'm about to snag some coffee before I dip to class.,going | grab | heading,about | snag | I dip,"[(1, 2), (3, 4), (7, 8)]","[(1, 2), (3, 4), (7, 9)]",3
I'm just so tired after a long day at work.,"I'm straight up drained after a crazy long day at work, no cap.",just so tired | work.,"straight up drained | crazy | work, no cap.","[(1, 4), (6, 6), (9, 10)]","[(1, 4), (6, 7), (10, 13)]",2
"Hey, I think I forgot my homework at home today.","Yo, I totally left my homework at the crib today.","Hey, | think I forgot | home","Yo, | totally left | the crib","[(0, 1), (2, 5), (8, 9)]","[(0, 1), (2, 4), (7, 9)]",3
I'm just feeling a little tired after a long day at work.,I'm kinda wiped after a long day at the grind.,just feeling a little tired | work.,kinda wiped | the grind.,"[(1, 6), (11, 12)]","[(1, 3), (8, 10)]",2
I'm just going to chill at home and watch some Netflix.,"I'm just gonna vibing at home and binge some Netflix, no cap.",going to chill | watch | Netflix.,"gonna vibing | binge | Netflix, no cap.","[(2, 5), (8, 9), (10, 11)]","[(2, 4), (7, 8), (9, 12)]",3
I'm really tired because I stayed up late watching videos.,I'm mad tired 'cause I was up all night binge-watching vids.,really | because | stayed | late watching videos.,mad | 'cause | was | all night binge-watching vids.,"[(1, 2), (3, 4), (5, 6), (7, 10)]","[(1, 2), (3, 4), (5, 6), (7, 11)]",4
"Hey, do you want to grab dinner tonight?","Yo, you down to hit up some dinner tonight?","Hey, do | want | grab","Yo, | down | hit up some","[(0, 2), (3, 4), (5, 6)]","[(0, 1), (2, 3), (4, 7)]",3
"Hey, do you want to hang out later and grab some coffee?","Yo, you tryna chill later and get some java?","Hey, do | want to hang out | grab | coffee?","Yo, | tryna chill | get | java?","[(0, 2), (3, 7), (9, 10), (11, 12)]","[(0, 1), (2, 4), (6, 7), (8, 9)]",4
"Hey, did you see that new movie everyone's talking about?","Yo, did you peep that new flick everyone's hyped about?","Hey, | see | movie | talking","Yo, | peep | flick | hyped","[(0, 1), (3, 4), (6, 7), (8, 9)]","[(0, 1), (3, 4), (6, 7), (8, 9)]",4
"Hey, let's meet up at the cafe later and catch up.","Yo, let's slide to the café later and vibe.zz","Hey, | meet up at | cafe | catch up.","Yo, | slide to | café | vibe.zz","[(0, 1), (2, 5), (6, 7), (9, 11)]","[(0, 1), (2, 4), (5, 6), (8, 9)]",4
I'm just going to hang out with my friends this afternoon.,I’m just gonna vibe with my friends later.,I'm | going to hang out | this afternoon.,I’m | gonna vibe | later.,"[(0, 1), (2, 6), (9, 11)]","[(0, 1), (2, 4), (7, 8)]",3
I'm really excited about hanging out with my friends this weekend.,"I'm hyped to chill with my crew this weekend, fr fr!",really excited about hanging out | friends | weekend.,"hyped to chill | crew | weekend, fr fr!","[(1, 6), (8, 9), (10, 11)]","[(1, 4), (6, 7), (8, 11)]",3
I'm really tired after studying all day.,I'm completely 🥱 after grinding all day.,really tired | studying,completely 🥱 | grinding,"[(1, 3), (4, 5)]","[(1, 3), (4, 5)]",2
"Hey, I'm really tired today, so I think I'll just stay home and relax.","Yo, I'm hella drained today, so I'm just gonna chill at home and vibe.","Hey, | really tired | I think I'll | stay | relax.","Yo, | hella drained | I'm | gonna chill at | vibe.","[(0, 1), (2, 4), (6, 9), (10, 11), (13, 14)]","[(0, 1), (2, 4), (6, 7), (8, 11), (13, 14)]",5
"Hey, did you see that new movie everyone is talking about?","Yo, did you catch that new flick everyone’s vibing over?","Hey, | see | movie everyone is talking about?","Yo, | catch | flick everyone’s vibing over?","[(0, 1), (3, 4), (6, 11)]","[(0, 1), (3, 4), (6, 10)]",3
I'm just really tired today and feeling a bit bored.,I'm mad tired today and vibing in boredom.,just really | feeling a bit bored.,mad | vibing in boredom.,"[(1, 3), (6, 10)]","[(1, 2), (5, 8)]",2
"Hey, did you see that new movie yesterday?","Yo, did you catch that fresh flick yesterday?","Hey, | see | new movie","Yo, | catch | fresh flick","[(0, 1), (3, 4), (5, 7)]","[(0, 1), (3, 4), (5, 7)]",3
I'm thinking about grabbing some coffee before heading out.,Lowkey tryna snag some coffee before I dip.,I'm thinking about grabbing | heading out.,Lowkey tryna snag | I dip.,"[(0, 4), (7, 9)]","[(0, 3), (6, 8)]",2
"Hey, I just finished my homework and I'm ready to hang out with friends.","Yo, justwrapped my homework and I'm totally down to kick it with the squad.","Hey, I just finished | ready | hang out | friends.","Yo, justwrapped | totally down | kick it | the squad.","[(0, 4), (8, 9), (10, 12), (13, 14)]","[(0, 2), (6, 8), (9, 11), (12, 14)]",4
I’m just going to chill at home and watch some movies tonight.,I'm just gon' kick it at home and binge some flicks tonight.,I’m | going to chill | watch | movies,I'm | gon' kick it | binge | flicks,"[(0, 1), (2, 5), (8, 9), (10, 11)]","[(0, 1), (2, 5), (8, 9), (10, 11)]",4
"Hey, are you free to hang out this weekend?","Yo, you down to chill this weekend?","Hey, are | free | hang out","Yo, | down | chill","[(0, 2), (3, 4), (5, 7)]","[(0, 1), (2, 3), (4, 5)]",3
I'm really tired after school today.,I'm mad drained after school today.,really tired,mad drained,"[(1, 3)]","[(1, 3)]",1
I'm just going to chill at home and watch some movies today.,I'm just gonna vibe at home and binge some flicks today.,going to chill | watch | movies,gonna vibe | binge | flicks,"[(2, 5), (8, 9), (10, 11)]","[(2, 4), (7, 8), (9, 10)]",3
I'm just relaxing at home tonight.,"Just chillin' at home tonight, no cap.",I'm just relaxing | tonight.,"Just chillin' | tonight, no cap.","[(0, 3), (5, 6)]","[(0, 2), (4, 7)]",2
I'm really tired after work today.,I'm super beat after grindin' all day.,really tired | work today.,super beat | grindin' all day.,"[(1, 3), (4, 6)]","[(1, 3), (4, 7)]",2
"Hey, are you free to hang out after school?","Yo, are you down to chill after class?","Hey, | free | hang out | school?","Yo, | down | chill | class?","[(0, 1), (3, 4), (5, 7), (8, 9)]","[(0, 1), (3, 4), (5, 6), (7, 8)]",4
