normal,paraphrase,literal_segments,paraphrase_segments,literal_positions,paraphrase_positions,num_differences
"The tsunami was observed along the Pacific coast of Japan from Izu Peninsula to Kyushu , and recorded by tide gauges from Hawaii to Alaska .",The tsunami was observed along the Pacific coast of Japan from the Izu peninsula to Kyushu and recorded by tides from Hawaii to Alaska .,"Peninsula | , | tide gauges",the | peninsula | tides,"[(12, 13), (15, 16), (19, 21)]","[(11, 12), (13, 14), (19, 20)]",3
"In 1960 , the world 's first laser was developed by American scientists Nikolay Basov and Alexander Prokhorov , and Russian scientist Charles H. Townes .",The world 's first laser was developed in 1960 by the American scientists Nikolay Basov and Alexander Prokhorov and the Russian scientist Charles H. Townes .,"In 1960 , the | ,",The | in 1960 | the | the,"[(0, 4), (18, 19)]","[(0, 1), (7, 9), (10, 11), (19, 20)]",4
This is a list of the etymology of street names in the district Covent Garden in London .,This is a list of the etymology of street names in the Covent Garden district of London .,district | in,district of,"[(12, 13), (15, 16)]","[(14, 16)]",1
The music was composed by A. T. Ummer and lyrics were written by Koorkkancheri Sugathan and Poovachal Khader .,The music was composed by A. T. Ummer and lyrics was written by Koorkkancheri Sugathan and Poovachal Khader .,were,was,"[(10, 11)]","[(10, 11)]",1
"They entered Aparan , Kotayk and gradually emerging , captured Yerevan on April 2 .","They entered Aparan , Kotayk , and gradually emerged , captured Yerevan on April 2 .",emerging,", | emerged","[(7, 8)]","[(5, 6), (8, 9)]",2
"In Havana , another series was played between Cincinnati Reds and the Boston Red Sox .",Another series was played in Havana between the Cincinnati Reds and the Boston Red Sox .,"In Havana , another",Another | in Havana | the,"[(0, 4)]","[(0, 1), (4, 6), (7, 8)]",3
"SDUU currently has local branches in Skåne , Örebro , Umeå , Halmstad , Kalmar , Stockholm , Göteborg , Skellefteå and Piteå .","SDUU currently has branches in Stockholm , Gothenburg , Halmstad , Kalmar , Skåne , Örebro , Umeå , Skellefteå and Piteå .","local | Halmstad , Kalmar , Stockholm , Göteborg ,","Stockholm , Gothenburg , Halmstad , Kalmar ,","[(3, 4), (12, 20)]","[(5, 13)]",1
South Arm Township is located in southern Charlevoix County and is bordered by Antrim County to the south and west .,South Arm Township is located in the southern Charlevoix County and is bordered to the south and west by Antrim County .,by Antrim County,the | by Antrim County,"[(12, 15)]","[(6, 7), (18, 21)]",2
"Container glass has a higher magnesium oxide and sodium oxide content than flat glass , and a lower Silica , Calcium oxide , and Aluminum oxide content .","Container glass has a higher content of magnesium oxide and sodium oxide as flat glass and a lower content of silica , calcium oxide and aluminum oxide .","content than | , | Silica , Calcium oxide , and Aluminum oxide","content of | as | of silica , calcium oxide and aluminum oxide","[(10, 12), (14, 15), (18, 26)]","[(5, 7), (12, 13), (19, 27)]",3
"He was named `` Thomas '' for Henry David Thoreau 's friend , Thomas Cholmondeley and `` Parker '' for Theodore Parker .","He was named `` Thomas '' for the friend of Henry David Thoreau , Thomas Cholmondeley , and '' Parker `` for Theodore Parker .",'s friend | `` Parker,"the friend of | , | Parker ``","[(10, 12), (16, 18)]","[(7, 10), (16, 17), (19, 21)]",3
Now to solve the indifference bid price find for formula _ 31 .,Now resolve the indifference bid price for Formula 31 to solve .,to solve | find | formula _,resolve | Formula | to solve,"[(1, 3), (7, 8), (9, 11)]","[(1, 2), (7, 8), (9, 11)]",3
"After Roger 's death , his son inherited -- William de Roumare , Earl of Lincoln -- the manor house .","On Roger 's death , his son -- William de Roumare , Earl of Lincoln -- inherited the manor .",After | inherited | house,On | inherited,"[(0, 1), (7, 8), (19, 20)]","[(0, 1), (16, 17)]",2
The old grammar school became the Upper School while the new building became the Lower School .,"The old high school became the Upper School , while the new building became lower school .",grammar | the Lower School,"high | , | lower school","[(2, 3), (13, 16)]","[(2, 3), (8, 9), (14, 16)]",3
"The main partners of this festival are Parmigiani Fleurier , Manor , Heineken , Vaudoise and UBS .","The festival 's main partners are UBS , Manor , Heineken , Vaudoise Assurances and Parmigiani Fleurier .",of this festival | Parmigiani Fleurier | UBS,festival 's | UBS | Assurances | Parmigiani Fleurier,"[(3, 6), (7, 9), (16, 17)]","[(1, 3), (6, 7), (13, 14), (15, 17)]",4
"The NFL awarded Super Bowl XI to Pasadena , California on March 19 , 1975 at the owners ' meetings held in Honolulu .","On 19 March 1975 , the NFL awarded the Super Bowl XI to Pasadena , California at the ownership meetings held in Honolulu .","The | on March 19 , 1975 | owners '","On 19 March 1975 , the | the | ownership","[(0, 1), (10, 15), (17, 19)]","[(0, 6), (8, 9), (18, 19)]",3
"Charley Frazier ( born August 12 , 1939 in Houston , Texas ) is a former American football receiver in the American Football League and the NFL .","Charley Frazier ( born August 12 , 1939 in Houston , Texas ) is a former American Football Wide Receiver from the NFL and the American Football League .",football receiver in | and the NFL,Football Wide Receiver from the NFL and,"[(17, 20), (24, 27)]","[(17, 24)]",1
"Belson as audio director programmed kinetic live visuals , and Jacobs programmed electronic music and visual experiments .",Belson as an audio director programmed live kinetic visuals and Jacobs programmed electronic music and visual experiments .,"kinetic | ,",an | kinetic,"[(5, 6), (8, 9)]","[(2, 3), (7, 8)]",2
A film director Larysa Malyukova and film critic Amir Yatsiv discussed the rare genre of the animated documentary .,The director Larysa Malyukova and the film critic Amir Yatsiv discussed the rare genre of animated film .,A film | the | documentary,The | the | film,"[(0, 2), (15, 16), (17, 18)]","[(0, 1), (5, 6), (16, 17)]",3
She was launched on 28 July 1941 and completed in August .,"It was launched on July 28 , 1941 and completed in August .",She | 28,"It | 28 ,","[(0, 1), (4, 5)]","[(0, 1), (5, 7)]",2
"It was free climbed and named after Bill House , when he first climbed it in 1938 .",It was climbed freely and named after Bill House when he first climbed it in 1938 .,"free | ,",freely,"[(2, 3), (9, 10)]","[(3, 4)]",1
"In both the stage and film version of Hedwig and the Angry Inch , the character of Hedwig moves to East Germany after leaving Junction City .","Both in the stage and in the film version of Hedwig and The Angry Inch , the character of Hedwig draws to East Germany after leaving Junction City .",In both | the | moves,Both in | in the | The | draws,"[(0, 2), (10, 11), (18, 19)]","[(0, 2), (5, 7), (12, 13), (20, 21)]",4
"He is a sculptor who has designed several monumental sculptures , including the award-winning `` Sentinel '' .","He is a sculptor who has created several monumental sculptures , including the award-winning `` Sentinel '' .",designed,created,"[(6, 7)]","[(6, 7)]",1
"English also has many words , such as `` zillion '' , used informally to mean indefinite and fictitious but unspecified amounts ; see large numbers .","English also has many words , such as '' zillion `` , which are informally used to mean indefinite and fictitious but unspecified amounts , see large numbers .",`` zillion | used | ;,"zillion `` | which are | used | ,","[(8, 10), (12, 13), (22, 23)]","[(9, 11), (12, 14), (15, 16), (24, 25)]",4
"Ryan Sweeting won against Evans in the final 6 -- 4 , 6 - 3 .","Ryan Sweeting won in the final 6 -- 4 , 6 -- 3 , against Evans .",against Evans | -,"-- | , against Evans","[(3, 5), (13, 14)]","[(11, 12), (13, 16)]",2
"It took place from 23 April to 29 April 2010 in the Real Club de Tenis Barcelona in Catalonia , Barcelona , Spain .","It took place from 23 to 29 April 2010 at the Real Club de Tenis Barcelona , Barcelona , Catalonia , Spain .",April | in | in Catalonia,"at | Catalonia ,","[(5, 6), (10, 11), (17, 19)]","[(9, 10), (19, 21)]",2
The Italian St. Giovanni Bosco Church is named after St. John Bosco .,The Italian church St. Giovanni Bosco is named after St. John Bosco .,Church,church,"[(5, 6)]","[(2, 3)]",1
Castlebrae Community High School is a secondary school located in the area of Greendykes in Edinburgh .,Castlebrae Community High School is a secondary school in the Edinburgh area of Greendykes .,located | in Edinburgh,Edinburgh,"[(8, 9), (14, 16)]","[(10, 11)]",1
"Wollstonecraft arrived on August 31 , 1819 on board the ship `` Sydney '' in Grenada .",Wollstonecraft arrived in Grenada on board the ship `` Sydney '' on 31 August 1819 .,"on August 31 , 1819 | in Grenada",in Grenada | on 31 August 1819,"[(2, 7), (14, 16)]","[(2, 4), (11, 15)]",2
Mosques were bombed and in many provinces Hui were slaughtered by Japanese troops or destroyed .,"In many provinces , mosques were bombed and Hui was slaughtered or destroyed by Japanese troops .",Mosques | in many provinces | were | or destroyed,"In many provinces , mosques | was | or destroyed","[(0, 1), (4, 7), (8, 9), (13, 15)]","[(0, 5), (9, 10), (11, 13)]",3
"Turing had an elder brother , John Dermot Turing ( the father of Sir John , 12th Baronet of the Turing baronets ) .","Turing had an older brother , John Dermot Turing ( the father of Sir John , 12th Baronet of Turing Baronets ) .",elder | the | baronets,older | Baronets,"[(3, 4), (19, 20), (21, 22)]","[(3, 4), (20, 21)]",2
"The network previously run a translator in Waterbury , W12BH ( Channel 12 ) , which repeated WEDY directly .","The network previously operated a translator in Waterbury , W12BH ( channel 12 ) , which directly repeated WEDY .",run | Channel | directly,operated | channel | directly,"[(3, 4), (11, 12), (18, 19)]","[(3, 4), (11, 12), (16, 17)]",3
The Blauvelt family arrived in Rockland County for the first time in 1638 and first arrived in America in 1683 .,"The Blauvelt family first arrived in Rockland County in 1638 , and first arrived in America in 1683 .",for the first time,"first | ,","[(7, 11)]","[(3, 4), (10, 11)]",2
"Buccinum parvulum is a species of sea snail , a true gastropod mollusk in the family Buccinidae , the marine whelks .","Buccinum parvulum is a species of sea snail , a true gastropod mollusk in the Buccinidae family , the whelks marine .",family | marine,family | marine,"[(15, 16), (19, 20)]","[(16, 17), (20, 21)]",2
"ISPS Handa promotes blind golf and disabled golf , and provides management and financial support to a number of tournaments in cooperation with the local golf associations worldwide .",ISPS Handa promotes disabled golf and blind golf and offers worldwide management and financial support for a number of tournaments in cooperation with local golf associations .,"disabled golf , and provides | to | the | worldwide",disabled golf and | offers worldwide | for,"[(6, 11), (15, 16), (23, 24), (27, 28)]","[(3, 6), (9, 11), (15, 16)]",3
"The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College , Colombo .","The brother of Dinesh Gunawardena and the eldest son of Philip Gunawardena , he was educated at the Royal College in Colombo .",",",in,"[(20, 21)]","[(20, 21)]",1
"Sir James married , in 1872 , John Nairne Forman ( d. 20 December 1929 ) , daughter of Helen Margaret of Staffa , WS .","In 1872 , Sir James married John Nairne Forman ( December 20 , 1929 ) , daughter of Helen Margaret von Staffa , WS .",", in 1872 , | d. 20 | of","In 1872 , | 20 , | von","[(3, 7), (11, 13), (21, 22)]","[(0, 3), (11, 13), (20, 21)]",3
Bridgeville was formally part of Rock Hill .,"Formally , Bridgeville was part of Rock Hill .",formally,"Formally ,","[(2, 3)]","[(0, 2)]",1
"Effective July 1 , 2000 , the village of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River .",The village of Mineral Hills and the city of Stambaugh were consolidated with the city of Iron River with effect from 1 July 2000 .,"Effective July 1 , 2000 , the",The | with effect from 1 July 2000,"[(0, 7)]","[(0, 1), (18, 24)]",2
"Easthope , born on 29 October 1784 in Tewkesbury , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver from Overbury , Worcestershire .","Easthope , born at Tewkesbury on 29 October 1784 , was the eldest son of Elizabeth by Thomas Easthope , daughter of John Leaver of Overbury , Worcestershire .",in Tewkesbury | from,at Tewkesbury | of,"[(7, 9), (24, 25)]","[(3, 5), (24, 25)]",2
"He later joined the 25th Regiment of Foot , 8th Hussars and ended his military career , in 1865 , with the rank of major in the 11th Hussars .","He later joined the 25th Regiment of Foot , 8th Husaren , and ended his military career with the rank of a major in the 11th husaren in 1865 .","Hussars | , in 1865 , | Hussars","Husaren , | a | husaren in 1865","[(10, 11), (16, 20), (28, 29)]","[(10, 12), (21, 22), (26, 29)]",3
These airlines connect more than 80 cities across India and also operate overseas routes following the liberalisation of Indian aviation .,These airlines connect more than 80 cities across India and also operate overseas routes after the liberalisation of Indian aviation .,following,after,"[(14, 15)]","[(14, 15)]",1
