term,gloss,gen_z,normal,slang_word,literal_replacement,slang_word_position,slang_positions,literal_positions
amyphan,"""random gibberish that means to ""have a lesbian day""""",This is textbook amyphan.,"This is a textbook case of random gibberish that means to ""have a lesbian day.",amyphan,"a | case of random gibberish that means to ""have a lesbian day.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 15)]"
chronasseur,a connoisseur in the field of marijuana studies,We've reached peak chronasseur.,We've reached peak a connoisseur in the field of marijuana studies.,chronasseur,a connoisseur in the field of marijuana studies.,3,"[(3, 4)]","[(3, 11)]"
cellcert,a cellcert is a concert transmitted via cell phone,The cellcert was unbearable.,The a cellcert is a concert transmitted via cell phone was unbearable.,cellcert,a | is a concert transmitted via cell phone,1,"[(1, 1), (2, 2)]","[(1, 2), (3, 10)]"
pussky,popeye's term in reference to olive oyl's vagina,Nobody warned me about pussky.,Nobody warned me about popeye's term in reference to olive oyl's vagina.,pussky,popeye's term in reference to olive oyl's vagina.,4,"[(4, 5)]","[(4, 12)]"
diflicated,to be difficult and complicated at the same time,I can't handle this diflicated anymore.,I can't handle this situation of to be difficult and complicated at the same time anymore.,diflicated,situation of to be difficult and complicated at the same time,4,"[(4, 5)]","[(4, 15)]"
gargon,the aliens watchdog portayed by a giant lobster from a 1950 sci fi flick,Have you dealt with gargon before?,Have you dealt with the aliens watchdog portayed by a giant lobster from a 1950 sci fi flick before?,gargon,the aliens watchdog portayed by a giant lobster from a 1950 sci fi flick,4,"[(4, 5)]","[(4, 18)]"
gnomesang,"""an internet gamer slang for ""you know what i'm saying?""""",This is textbook gnomesang.,"This is a textbook case of an internet gamer slang for ""you know what i'm saying?.",gnomesang,"a | case of an internet gamer slang for ""you know what i'm saying?.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 16)]"
vagitarian,opposite of penivore,We've reached peak vagitarian.,We've reached peak opposite of penivore.,vagitarian,opposite of penivore.,3,"[(3, 4)]","[(3, 6)]"
awesomewurst,"""a synonym to ""bacon"", that emphasizes the greatness of this particular smoked pork",The awesomewurst was unbearable.,"The a synonym to ""bacon"", that emphasizes the greatness of this particular smoked pork was unbearable.",awesomewurst,"a synonym to ""bacon"", that emphasizes the greatness of this particular smoked pork",1,"[(1, 2)]","[(1, 14)]"
brantzen,when someone outshines another,We experienced major brantzen today.,We experienced outshines another today.,brantzen,outshines another,3,"[(2, 4)]","[(2, 4)]"
cavebitch,"some bitch that looks like a neanderthal, complete with big forehead, unibrow, hunched back, etc",I can't handle this cavebitch anymore.,"I can't handle this situation of some bitch that looks like a neanderthal, complete with big forehead, unibrow, hunched back, etc anymore.",cavebitch,"situation of some bitch that looks like a neanderthal, complete with big forehead, unibrow, hunched back, etc",4,"[(4, 5)]","[(4, 21)]"
dueces,"""similar to ""peace"" or ""peace out"" taken from the hand siginal that means ""peace""""",Have you dealt with dueces before?,"Have you dealt with similar to ""peace"" or ""peace out"" taken from the hand siginal that means ""peace before?",dueces,"similar to ""peace"" or ""peace out"" taken from the hand siginal that means ""peace",4,"[(4, 5)]","[(4, 18)]"
hamburgalar,the mcdonalds character that steals hamburgers from the other mcdonalds friends,This is textbook hamburgalar.,This is a textbook case of the mcdonalds character that steals hamburgers from the other mcdonalds friends.,hamburgalar,a | case of the mcdonalds character that steals hamburgers from the other mcdonalds friends.,3,"[(2, 2), (3, 4)]","[(2, 3), (4, 17)]"
canasian,an asian who lives in canada,We've reached peak canasian.,We've reached peak an asian who lives in canada.,canasian,an asian who lives in canada.,3,"[(3, 4)]","[(3, 9)]"
ephebophile,a [pedophile] with a thesaurus,The ephebophile was unbearable.,The a [pedophile] with a thesaurus was unbearable.,ephebophile,a [pedophile] with a thesaurus,1,"[(1, 2)]","[(1, 6)]"
gwop,a slang term for currency that exists among street level hoods,Nobody warned me about gwop.,Nobody warned me about a slang term for currency that exists among street level hoods.,gwop,a slang term for currency that exists among street level hoods.,4,"[(4, 5)]","[(4, 15)]"
chapulling,"chapulling is a new word discovered in taksim gezi park/istanbul/turkey chapulling(verb): resistance to force, demand justice, seek one's right",I spent all day chapulling.,"I spent all day chapulling is a new word discovered in taksim gezi park/istanbul/turkey chapulling(verb): resistance to force, demand justice, seek one's right.",chapulling,"chapulling is a new word discovered in taksim gezi park/istanbul/turkey chapulling(verb): resistance to force, demand justice, seek one's right.",4,"[(4, 5)]","[(4, 23)]"
Smol,"something that is small, and in most cases exceptionally adorable.",Have you dealt with smol before?,"Have you dealt with something that is small, and in most cases exceptionally adorable. before?",Smol,"something that is small, and in most cases exceptionally adorable.",4,"[(4, 5)]","[(4, 14)]"
americantrucker,"an americantrucker was or will be born here, raised here, speaks only american and drives american made trucks",This is textbook americantrucker.,"This is a textbook case of an americantrucker was or will be born here, raised here, speaks only american and drives american made trucks.",americantrucker,"a | case of an americantrucker was or will be born here, raised here, speaks only american and drives american made trucks.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 24)]"
dvda,"1)a porn term meaning double vaginal, double anal",We've reached peak dvda.,"We've reached peak 1)a porn term meaning double vaginal, double anal.",dvda,"1)a porn term meaning double vaginal, double anal.",3,"[(3, 4)]","[(3, 11)]"
pomf,the sound you make when you fall backwards onto the bed while being a little girl,The pomf was unbearable.,The the sound you make when you fall backwards onto the bed while being a little girl was unbearable.,pomf,the sound you make when you fall backwards onto the bed while being a little girl,1,"[(1, 2)]","[(1, 17)]"
bryla,"""1) most rachels are sweet, caring, respectful individuals",Nobody warned me about bryla.,"Nobody warned me about 1) most rachels are sweet, caring, respectful individuals.",bryla,"1) most rachels are sweet, caring, respectful individuals.",4,"[(4, 5)]","[(4, 12)]"
boneography,when lovers take pictures of themselves making love,Their boneography session got leaked online.,Their intimate photos together got leaked online.,boneography,intimate photos together,1,"[(1, 3)]","[(1, 4)]"
backpfeifengesicht,"""a german compund word/term that loosely translates to ""cheek pipe face""",Have you dealt with backpfeifengesicht before?,"Have you dealt with a german compund word/term that loosely translates to ""cheek pipe face before?",backpfeifengesicht,"a german compund word/term that loosely translates to ""cheek pipe face",4,"[(4, 5)]","[(4, 15)]"
coastie,"""girls from the coastal areas of the united states, who for some reason decided to flood the university of wisconsin - madison",This is textbook coastie.,"This is a textbook case of girls from the coastal areas of the united states, who for some reason decided to flood the university of wisconsin - madison.",coastie,"a | case of girls from the coastal areas of the united states, who for some reason decided to flood the university of wisconsin - madison.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 28)]"
bensmithing,"""(v) a political tactic that disguises itself as journalism in order to protect democrats, most specifically barack obama",I spent all day bensmithing.,"I spent all day (v) a political tactic that disguises itself as journalism in order to protect democrats, most specifically barack obama.",bensmithing,"(v) a political tactic that disguises itself as journalism in order to protect democrats, most specifically barack obama.",4,"[(4, 5)]","[(4, 22)]"
Facepalm,embarrassment or frustration,The facepalm was unbearable.,The embarrassment or frustration was unbearable.,Facepalm,embarrassment or frustration,1,"[(1, 2)]","[(1, 4)]"
cenosillicaphobia,"the fear of an empty glass - manifests itself in a number of circumstances and the symptoms can be uncomfortable at best, downright terrifying at worst",I'm dealing with serious cenosillicaphobia.,"I'm dealing with a serious fear of the an empty glass - manifests itself in a number of circumstances and the symptoms can be uncomfortable at best, downright terrifying at worst.",cenosillicaphobia,"a | fear of the an empty glass - manifests itself in a number of circumstances and the symptoms can be uncomfortable at best, downright terrifying at worst.",4,"[(3, 3), (4, 5)]","[(3, 4), (5, 31)]"
asdfasdf,commonly used to test internet connectivity by quickly mashing random characters into a google search box and hitting enter,I can't handle this asdfasdf anymore.,I can't handle this situation of commonly used to test internet connectivity by quickly mashing random characters into a google search box and hitting enter anymore.,asdfasdf,situation of commonly used to test internet connectivity by quickly mashing random characters into a google search box and hitting enter,4,"[(4, 5)]","[(4, 25)]"
wankster,a phoney gangster,Have you dealt with wankster before?,Have you dealt with a phoney gangster before?,wankster,a phoney gangster,4,"[(4, 5)]","[(4, 7)]"
gingervitis,"a disease held by a kid who has orange hair, pale skin and freckles on his face",This is textbook gingervitis.,"This is a textbook case of a disease held by a kid who has orange hair, pale skin and freckles on his face.",gingervitis,"a | case of a disease held by a kid who has orange hair, pale skin and freckles on his face.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 23)]"
cinemuck,"the combination of popcorn, soda, and melted chocolate which covers the floors of movie theaters",We've reached peak cinemuck.,"We've reached peak the combination of popcorn, soda, and melted chocolate which covers the floors of movie theaters.",cinemuck,"the combination of popcorn, soda, and melted chocolate which covers the floors of movie theaters.",3,"[(3, 4)]","[(3, 18)]"
feenin,"wanting, craving for intensely",The feenin was unbearable.,"The wanting, craving for intensely was unbearable.",feenin,"wanting, craving for intensely",1,"[(1, 2)]","[(1, 5)]"
brolic,"mesomorphically chiseled, buff, muscular, diesel, built",Nobody warned me about brolic.,"Nobody warned me about mesomorphically chiseled, buff, muscular, diesel, built.",brolic,"mesomorphically chiseled, buff, muscular, diesel, built.",4,"[(4, 5)]","[(4, 10)]"
thotianna,"a thotianna is a dirty ass female that will suck,fuck,dickride,and homiehop any nigga",I can't handle this thotianna anymore.,"I can't handle this situation of a thotianna is a dirty ass female that will suck,fuck,dickride,and homiehop any nigga anymore.",thotianna,"situation of a | is a dirty ass female that will suck,fuck,dickride,and homiehop any nigga",4,"[(4, 4), (5, 5)]","[(4, 7), (8, 19)]"
btfu,"boiler the fuck up -as in, purdue boilermakers",Have you dealt with btfu before?,"Have you dealt with boiler the fuck up -as in, purdue boilermakers before?",btfu,"boiler the fuck up -as in, purdue boilermakers",4,"[(4, 5)]","[(4, 12)]"
booshie,"an effectation of a lifestyle, i",This is textbook booshie.,"This is a textbook case of an effectation of a lifestyle, i.",booshie,"a | case of an effectation of a lifestyle, i.",3,"[(2, 2), (3, 4)]","[(2, 3), (4, 12)]"
