normal,identical,literal_segments,identical_segments,literal_positions,identical_positions,num_differences
"On July 5 , 1846 , he married Elisabeth Klein , ( 1828 -- 1899 ) , daughter of the composer Bernhard Klein and great-grandmother of Friedrich Nicolai .","On July 5 , 1846 , he married Elisabeth Klein , ( 1828 -- 1899 ) , daughter of the composer Bernhard Klein and great-grandmother of Friedrich Nicolai .",1899,1899,"[(14, 15)]","[(14, 15)]",0
Gimnasia y Esgrima ( LP ) won 3 -- 2 and stayed in the Primera División .,Gimnasia y Esgrima ( LP ) won 3 -- 2 and stayed in the Primera División .,--,--,"[(8, 9)]","[(8, 9)]",0
"He spent the childhood of Berkeley in Warwickshire , where he was a pupil of the translator Philemon Holland of Coventry and Henry Ashwood .","He spent the childhood of Berkeley in Warwickshire , where he was a pupil of the translator Philemon Holland of Coventry and Henry Ashwood .",a,a,"[(12, 13)]","[(12, 13)]",0
"He graduated from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .","He graduated from the Galatasaray High School in Shumen in 1858 and became a teacher in Istanbul , where he remained until 1864 .",became,became,"[(12, 13)]","[(12, 13)]",0
"A child , Michelle Zonee Barksdale Hurston , born in 1957 , had Lawes .","A child , Michelle Zonee Barksdale Hurston , born in 1957 , had Lawes .",",",",","[(7, 8)]","[(7, 8)]",0
"On 31 October 2012 , Watson acquired Actavis and took the Actavis name .","On 31 October 2012 , Watson acquired Actavis and took the Actavis name .",Actavis,Actavis,"[(7, 8)]","[(7, 8)]",0
He joined Janata Dal ( United ) and left the Bharatiya Janata Party in February 2008 .,He joined Janata Dal ( United ) and left the Bharatiya Janata Party in February 2008 .,left,left,"[(8, 9)]","[(8, 9)]",0
"Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .","Earlier in 209 , Sun Quan Sun married Quan ’ s younger sister , Lady Sun , to strengthen the alliance between him and Liu Bei .",",",",","[(13, 14)]","[(13, 14)]",0
"The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .","The Argentine government remained neutral until the last days of war , but quietly tolerated the entry of Nazi leaders who fled Germany , Belgium , and Vichy - France in 1945 .",entry,entry,"[(16, 17)]","[(16, 17)]",0
It was acquired in 1930 by AVCO American Airlines .,It was acquired in 1930 by AVCO American Airlines .,by,by,"[(5, 6)]","[(5, 6)]",0
"During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .","During their relationship the pair lived in Los Angeles , though Seymour spent more time in London and Los Angeles for her work .",spent,spent,"[(12, 13)]","[(12, 13)]",0
The North Downs Way crosses the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .,The North Downs Way crosses the Medway Viaduct at the eastern end of the Medway Valley Walk or motorway bridge .,eastern,eastern,"[(10, 11)]","[(10, 11)]",0
Miguel Ángel Virasoro ( born 1940 in Italy ) is an Argentinean physicist who has done most of his work in Argentina .,Miguel Ángel Virasoro ( born 1940 in Italy ) is an Argentinean physicist who has done most of his work in Argentina .,Argentinean,Argentinean,"[(11, 12)]","[(11, 12)]",0
He gained popularity also by replacing Archie Kao and Adam Rodriguez .,He gained popularity also by replacing Archie Kao and Adam Rodriguez .,Archie,Archie,"[(6, 7)]","[(6, 7)]",0
"His parents are Ernie Gordon , who grew up with Yankees - fan in Hyde Park , New York , and Wendy Abrahamsen .","His parents are Ernie Gordon , who grew up with Yankees - fan in Hyde Park , New York , and Wendy Abrahamsen .",fan,fan,"[(12, 13)]","[(12, 13)]",0
"According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .","According to the United States Census Bureau , the city is a total surface area of which has land and , or 1.35 % , is water .",area,area,"[(14, 15)]","[(14, 15)]",0
"It is located to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .","It is located to the north of New Square and New Hempstead , east of Viola , south of Spring Valley and west of New City .",east,east,"[(13, 14)]","[(13, 14)]",0
"If maximum concentrations are reached , there may be a delay of one or two days before toxic toxicity occurs .","If maximum concentrations are reached , there may be a delay of one or two days before toxic toxicity occurs .",delay,delay,"[(10, 11)]","[(10, 11)]",0
"Pelmus has been exhibited in museums in Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .","Pelmus has been exhibited in museums in Romania , France , Germany , Israel , Canada , Austria , Chile and Brazil , including five solo exhibitions .",",",",","[(14, 15)]","[(14, 15)]",0
"Owen believed his utopian community would create a `` social environment '' based on his ideals of superior social , intellectual and physical reform .","Owen believed his utopian community would create a `` social environment '' based on his ideals of superior social , intellectual and physical reform .",based,based,"[(12, 13)]","[(12, 13)]",0
"Upon the death of Louis XIV in 1661 , Cardinal Mazarin , who had nominally been king since 1643 , began to rule France in his own right .","Upon the death of Louis XIV in 1661 , Cardinal Mazarin , who had nominally been king since 1643 , began to rule France in his own right .",nominally,nominally,"[(14, 15)]","[(14, 15)]",0
"Fish species of the parks rivers and lakes are Sperchios Barbel , Macedonian Döbel , Sperchios Spirlin , Greek trout and probably the endangered Marathon Minnow .","Fish species of the parks rivers and lakes are Sperchios Barbel , Macedonian Döbel , Sperchios Spirlin , Greek trout and probably the endangered Marathon Minnow .",Döbel,Döbel,"[(13, 14)]","[(13, 14)]",0
"The Giro 's mountainous stage 20 ended on the slopes of Les Deux Alpes , and the penultimate stage began on the mountain the next day .","The Giro 's mountainous stage 20 ended on the slopes of Les Deux Alpes , and the penultimate stage began on the mountain the next day .",Alpes,Alpes,"[(13, 14)]","[(13, 14)]",0
"The school is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .","The school is connected with the secondary department of the autistic school Ysgol Plas Brondyffryn , which was built in 2003 .",school,school,"[(11, 12)]","[(11, 12)]",0
"By adding sufficient oxygen to compensate for the metabolic usage , rebreathing the carbon dioxide and removing the gas , most of the volume is conserved .","By adding sufficient oxygen to compensate for the metabolic usage , rebreathing the carbon dioxide and removing the gas , most of the volume is conserved .",carbon,carbon,"[(13, 14)]","[(13, 14)]",0
The SR 164 was commissioned from Youngstown to Salineville in 1923 .,The SR 164 was commissioned from Youngstown to Salineville in 1923 .,Youngstown,Youngstown,"[(6, 7)]","[(6, 7)]",0
"On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .","On November 10 , 2015 , ATP editor Josh Meiseles confirmed the official list of 8 players on the final website of the ATP World Tour .",list,list,"[(13, 14)]","[(13, 14)]",0
"After the death of her first husband , Katharina Dalton married Tom Dalton , who passed away in 1992 .","After the death of her first husband , Katharina Dalton married Tom Dalton , who passed away in 1992 .",married,married,"[(10, 11)]","[(10, 11)]",0
"In 1923 , there were 568 wz.1902 guns in the Polish inventory .","In 1923 , there were 568 wz.1902 guns in the Polish inventory .",wz.1902,wz.1902,"[(6, 7)]","[(6, 7)]",0
For a few years Daniel went to the same school as Björn Dixgård ; at the age of fifteen he founded a band called Butler together with Björn .,For a few years Daniel went to the same school as Björn Dixgård ; at the age of fifteen he founded a band called Butler together with Björn .,at,at,"[(14, 15)]","[(14, 15)]",0
"British Regional Airlines can trace its history back to March 1991 , when Manx Airlines created Manx Airlines Europe in order to expand and fly routes within Britain .","British Regional Airlines can trace its history back to March 1991 , when Manx Airlines created Manx Airlines Europe in order to expand and fly routes within Britain .",Airlines,Airlines,"[(14, 15)]","[(14, 15)]",0
"Chicago Public School is a DeWitt Clinton School on the north side of Chicago , Illinois .","Chicago Public School is a DeWitt Clinton School on the north side of Chicago , Illinois .",on,on,"[(8, 9)]","[(8, 9)]",0
"In 2010 , Buick launched a new version of the Shanghai GM GL8 Luxury Business Edition .","In 2010 , Buick launched a new version of the Shanghai GM GL8 Luxury Business Edition .",of,of,"[(8, 9)]","[(8, 9)]",0
"In this way , the Nestorian faith in the East was established under tragic omens .","In this way , the Nestorian faith in the East was established under tragic omens .",the,the,"[(8, 9)]","[(8, 9)]",0
"Neyab ( also Romanized as Neyab ) is a village in Esfarayen County , North Khorasan Province , Iran , Bam and Safiabad District , Safiabad Rural District .","Neyab ( also Romanized as Neyab ) is a village in Esfarayen County , North Khorasan Province , Iran , Bam and Safiabad District , Safiabad Rural District .",North,North,"[(14, 15)]","[(14, 15)]",0
The system required the user to encode the quasi-phonetic spelling first into a default rendering .,The system required the user to encode the quasi-phonetic spelling first into a default rendering .,quasi-phonetic,quasi-phonetic,"[(8, 9)]","[(8, 9)]",0
"The company was then acquired the St. Louis and Cairo Railroad , the narrow gauge .","The company was then acquired the St. Louis and Cairo Railroad , the narrow gauge .",and,and,"[(8, 9)]","[(8, 9)]",0
"His parents are Don Luis Toranzos , himself a prominent artist , and Angelina Miers from Argentina .","His parents are Don Luis Toranzos , himself a prominent artist , and Angelina Miers from Argentina .",prominent,prominent,"[(9, 10)]","[(9, 10)]",0
Most pre- 1976 series produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .,Most pre- 1976 series produced by CBS or distributed by CBS Films were later distributed by Viacom and Paramount Television .,CBS,CBS,"[(10, 11)]","[(10, 11)]",0
"Marsh Creek is a long tributary of Portneuf River in Bannock County , Idaho .","Marsh Creek is a long tributary of Portneuf River in Bannock County , Idaho .",Portneuf,Portneuf,"[(7, 8)]","[(7, 8)]",0
"It is used as a measure of absorbed dose , kinetic energy ( released ) , and kerma ( an acronym for specific energy imparted per unit mass ) .","It is used as a measure of absorbed dose , kinetic energy ( released ) , and kerma ( an acronym for specific energy imparted per unit mass ) .",",",",","[(15, 16)]","[(15, 16)]",0
There were also 58 liaison aircraft but 20 of these were only used for messengers .,There were also 58 liaison aircraft but 20 of these were only used for messengers .,of,of,"[(8, 9)]","[(8, 9)]",0
